questionID,cardType,correct,D1,D2,D3
148,tenframe,10,4,5,2
149,tenframe,3,1,8,4
150,tenframe,8,9,4,3
151,tenframe,0,7,4,6
152,tenframe,9,0,7,1
153,tenframe,3,1,5,10
154,tenframe,7,4,9,3
155,tenframe,4,1,2,0
156,tenframe,0,7,10,8
157,tenframe,9,7,8,6
158,tenframe,5,7,8,10
159,tenframe,2,10,3,9
160,tenframe,8,0,5,6
161,tenframe,4,7,5,0
162,tenframe,5,3,10,6
163,tenframe,4,0,5,3
164,tenframe,5,7,8,1
165,tenframe,7,1,2,4
166,tenframe,0,5,6,2
167,tenframe,9,8,7,4
168,tenframe,1,0,2,7
169,tenframe,5,10,7,1
170,tenframe,9,10,5,3
171,tenframe,8,3,7,9
172,tenframe,0,6,7,3
173,tenframe,5,7,1,10
174,tenframe,7,4,0,8
175,tenframe,3,10,9,7
176,tenframe,9,5,7,0
177,tenframe,3,6,7,4
178,tenframe,4,3,10,8
179,tenframe,2,8,5,1
180,tenframe,0,3,4,1
181,tenframe,9,8,7,4
182,tenframe,9,3,2,0
183,tenframe,4,1,0,3
184,tenframe,9,10,7,8
185,tenframe,7,1,10,3
186,tenframe,7,4,0,6
187,tenframe,7,10,3,4
188,tenframe,7,10,3,1
189,tenframe,0,9,1,5
190,tenframe,4,8,5,0
191,tenframe,4,8,0,7
192,tenframe,0,5,7,3
193,tenframe,10,1,0,4
194,tenframe,5,9,6,10
195,tenframe,9,7,10,8
196,tenframe,0,9,3,10
197,tenframe,9,10,3,6
198,tenframe,3,0,10,6
199,tenframe,10,2,6,1
200,tenframe,4,10,9,7
201,doubletenframe,19,16,11,20
202,doubletenframe,19,18,11,16
203,doubletenframe,20,11,16,12
204,doubletenframe,12,13,17,16
205,doubletenframe,17,19,14,15
206,doubletenframe,16,12,15,17
207,doubletenframe,10,12,18,14
208,doubletenframe,18,16,12,20
209,doubletenframe,17,15,19,16
210,doubletenframe,11,13,12,14
211,doubletenframe,17,11,16,20
212,doubletenframe,16,17,15,10
213,doubletenframe,12,17,15,11
214,doubletenframe,16,14,17,18
215,doubletenframe,18,10,16,13
216,doubletenframe,11,10,16,13
217,doubletenframe,17,10,14,16
218,doubletenframe,18,17,20,14
219,doubletenframe,19,15,10,13
220,doubletenframe,13,10,15,14
221,doubletenframe,17,18,10,14
222,doubletenframe,18,13,11,10
223,doubletenframe,10,14,11,15
224,doubletenframe,10,18,12,20
225,doubletenframe,16,17,18,11
226,doubletenframe,12,10,13,11
227,doubletenframe,11,16,13,17
228,doubletenframe,12,17,11,14
229,doubletenframe,16,13,19,17
230,doubletenframe,20,12,18,17
231,doubletenframe,18,16,15,12
232,doubletenframe,14,16,19,11
233,doubletenframe,15,13,20,12
234,doubletenframe,14,18,20,10
235,doubletenframe,20,10,11,15
236,doubletenframe,11,15,10,18
237,doubletenframe,17,11,18,20
238,doubletenframe,19,18,14,12
239,doubletenframe,13,20,16,12
240,doubletenframe,18,15,20,11
241,doubletenframe,11,14,12,20
242,doubletenframe,15,10,11,17
243,doubletenframe,11,10,18,15
244,doubletenframe,19,15,12,18
245,doubletenframe,20,12,16,17
246,doubletenframe,16,15,13,11
247,doubletenframe,17,10,11,15
248,doubletenframe,19,15,10,13
249,doubletenframe,17,19,18,13
250,doubletenframe,12,19,20,13
251,doubletenframe,16,12,20,10
252,doubletenframe,11,10,18,20
253,doubletenframe,20,19,14,10
254,doubletenframe,20,14,16,17
255,doubletenframe,14,15,20,18
256,doubletenframe,15,19,13,18
257,doubletenframe,15,13,10,11
258,doubletenframe,10,18,19,17
259,doubletenframe,18,16,10,14
260,doubletenframe,15,10,13,20
261,doubletenframe,11,16,12,19
262,doubletenframe,15,18,12,20
263,doubletenframe,12,13,18,20
264,doubletenframe,20,13,18,10
265,doubletenframe,16,13,14,10
266,doubletenframe,12,13,14,11
267,doubletenframe,16,15,13,12
268,doubletenframe,18,19,16,11
269,doubletenframe,14,16,15,12
270,doubletenframe,19,11,10,13
271,doubletenframe,10,20,11,15
272,doubletenframe,10,18,17,13
273,doubletenframe,12,13,15,20
274,doubletenframe,14,16,12,10
275,doubletenframe,15,13,11,20
276,doubletenframe,14,18,19,13
277,doubletenframe,15,14,20,17
278,doubletenframe,12,18,14,11
279,doubletenframe,16,17,13,10
280,doubletenframe,19,14,11,18
281,doubletenframe,11,15,18,10
282,doubletenframe,10,13,15,19
283,doubletenframe,19,15,16,17
284,doubletenframe,16,20,12,13
285,doubletenframe,11,14,13,12
286,doubletenframe,11,12,14,10
287,doubletenframe,20,19,12,16
288,doubletenframe,12,16,14,18
289,doubletenframe,16,10,19,13
290,doubletenframe,19,11,17,14
291,doubletenframe,17,16,19,12
292,doubletenframe,15,13,14,16
293,doubletenframe,15,11,16,18
294,doubletenframe,12,18,14,13
295,doubletenframe,17,18,10,12
296,doubletenframe,10,18,12,14
297,doubletenframe,15,19,14,16
298,doubletenframe,16,11,10,13
299,doubletenframe,20,18,10,14
300,doubletenframe,20,15,16,13
